rat,band,duplex,bw_mhz,scs_khz,ssb_scs_khz,dl_arfcn_or_earfcn,dl_freq_mhz,ssb_arfcn,ssb_gscn,ssb_freq_mhz,status,notes,cfg_snippet
NR,71,FDD,5,15,15,126900,634.5,126990,1587,634.95,ok,,"band: 71\ndl_nr_arfcn: 126900\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 126990\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,74,FDD,5,15,15,299280,1496.4,299310,3741,1496.55,ok,,"band: 74\ndl_nr_arfcn: 299280\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 299310\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,77,TDD,10,30,30,650000,3750,650016,8020,3750.24,ok,,"band: 77\ndl_nr_arfcn: 650000\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""10000000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 650016\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
NR,78,TDD,10,30,30,636668,3550.02,636672,7881,3550.08,ok,,"band: 78\ndl_nr_arfcn: 636668\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""10000000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 636672\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
NR,79,TDD,15,30,30,732832,4992.48,732672,8881,4990.08,ok,,"band: 79\ndl_nr_arfcn: 732832\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""10000000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 732672\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
NR,90,TDD,10,30,30,518604,2593.02,518670,6483,2593.35,ok,,"band: 90\ndl_nr_arfcn: 518604\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 518670\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
LTE,1,FDD,5,15,15,25,2112.5,25,,2112.5,ok,,band: 1\ndl_earfcn: 25\nn_rb_dl: 25
LTE,2,FDD,1.4,15,15,607,1930.7,607,,1930.7,ok,,band: 2\ndl_earfcn: 607\nn_rb_dl: 6
LTE,3,FDD,1.4,15,15,1207,1805.7,1207,,1805.7,ok,,band: 3\ndl_earfcn: 1207\nn_rb_dl: 6
LTE,4,FDD,1.4,15,15,1957,2110.7,1957,,2110.7,ok,,band: 4\ndl_earfcn: 1957\nn_rb_dl: 6
