USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         268  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/42]
root         269  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/42]
root         270  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/42]
root         271  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/42]
root         273  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/42:0H-events_highpri]
root         274  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/43]
root         275  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/43]
root         276  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/43]
root         277  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/43]
root         279  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/43:0H-kblockd]
root         280  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/44]
root         281  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/44]
root         282  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/44]
root         283  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/44]
root         285  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/44:0H-events_highpri]
root         286  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/45]
root         287  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/45]
root         288  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/45]
root         289  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/45]
root         291  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/45:0H-kblockd]
root         292  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/46]
root         293  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/46]
root         294  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/46]
root         295  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/46]
root         297  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/46:0H-events_highpri]
root         298  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/47]
root         299  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/47]
root         300  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/47]
root         301  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/47]
root         303  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/47:0H-events_highpri]
root         304  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/48]
root         305  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/48]
root         306  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/48]
root         307  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/48]
root         309  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/48:0H-events_highpri]
root         311  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/49]
root         312  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/49]
root         313  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/49]
root         314  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/49]
root         315  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/49:0-ipv6_addrconf]
root         316  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/49:0H-kblockd]
root         317  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/50]
root         318  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/50]
root         319  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/50]
root         320  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/50]
root         322  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/50:0H-events_highpri]
root         323  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/51]
root         324  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/51]
root         325  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/51]
root         326  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/51]
root         327  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/51:0-mm_percpu_wq]
root         328  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/51:0H-kblockd]
root         329  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/52]
root         330  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/52]
root         331  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/52]
root         332  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/52]
root         334  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/52:0H-events_highpri]
root         335  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/53]
root         336  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/53]
root         337  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/53]
root         338  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/53]
root         340  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/53:0H-events_highpri]
root         341  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/54]
root         342  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/54]
root         343  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/54]
root         344  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/54]
root         345  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/54:0-events]
root         346  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/54:0H-events_highpri]
root         347  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/55]
root         348  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/55]
root         349  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/55]
root         350  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/55]
root         352  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/55:0H-events_highpri]
root         353  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/56]
root         354  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/56]
